time(ms),ax,ay,az
0.0,0.6,-0.4,9.8
20.0,6.5,4.1,10.6
40.0,20.1,14.5,17.1
60.0,45.2,30.3,24.5
80.0,68.2,44.0,32.4
100.0,41.9,27.5,20.0
120.0,14.1,10.2,12.1
140.0,2.1,1.3,10.2
